2025-08-12 22:37:40 status half-installed libctf0:amd64 2.44-3
2025-08-12 22:37:40 status unpacked libctf0:amd64 2.44-3
2025-08-12 22:37:40 install libjansson4:amd64 <none> 2.14-2+b3
2025-08-12 22:37:40 status half-installed libjansson4:amd64 2.14-2+b3
2025-08-12 22:37:40 status unpacked libjansson4:amd64 2.14-2+b3
2025-08-12 22:37:40 install binutils-x86-64-linux-gnu:amd64 <none> 2.44-3
2025-08-12 22:37:40 status half-installed binutils-x86-64-linux-gnu:amd64 2.44-3
2025-08-12 22:37:40 status unpacked binutils-x86-64-linux-gnu:amd64 2.44-3
2025-08-12 22:37:40 install binutils:amd64 <none> 2.44-3
2025-08-12 22:37:40 status half-installed binutils:amd64 2.44-3
2025-08-12 22:37:40 status unpacked binutils:amd64 2.44-3
2025-08-12 22:37:40 install libisl23:amd64 <none> 0.27-1
2025-08-12 22:37:40 status half-installed libisl23:amd64 0.27-1
2025-08-12 22:37:40 status unpacked libisl23:amd64 0.27-1
2025-08-12 22:37:40 install libmpfr6:amd64 <none> 4.2.2-1
2025-08-12 22:37:40 status half-installed libmpfr6:amd64 4.2.2-1
2025-08-12 22:37:40 status unpacked libmpfr6:amd64 4.2.2-1
2025-08-12 22:37:40 install libmpc3:amd64 <none> 1.3.1-1+b3
2025-08-12 22:37:40 status half-installed libmpc3:amd64 1.3.1-1+b3
2025-08-12 22:37:40 status unpacked libmpc3:amd64 1.3.1-1+b3
2025-08-12 22:37:41 install cpp-14-x86-64-linux-gnu:amd64 <none> 14.2.0-19
2025-08-12 22:37:41 status half-installed cpp-14-x86-64-linux-gnu:amd64 14.2.0-19
2025-08-12 22:37:41 status unpacked cpp-14-x86-64-linux-gnu:amd64 14.2.0-19
2025-08-12 22:37:41 install cpp-14:amd64 <none> 14.2.0-19
2025-08-12 22:37:41 status half-installed cpp-14:amd64 14.2.0-19
2025-08-12 22:37:41 status unpacked cpp-14:amd64 14.2.0-19
2025-08-12 22:37:41 install cpp-x86-64-linux-gnu:amd64 <none> 4:14.2.0-1
2025-08-12 22:37:41 status half-installed cpp-x86-64-linux-gnu:amd64 4:14.2.0-1
2025-08-12 22:37:41 status unpacked cpp-x86-64-linux-gnu:amd64 4:14.2.0-1
2025-08-12 22:37:41 install cpp:amd64 <none> 4:14.2.0-1
2025-08-12 22:37:41 status half-installed cpp:amd64 4:14.2.0-1
2025-08-12 22:37:41 status unpacked cpp:amd64 4:14.2.0-1
2025-08-12 22:37:41 install libgpg-error0:amd64 <none> 1.51-4
2025-08-12 22:37:41 status half-installed libgpg-error0:amd64 1.51-4
2025-08-12 22:37:41 status unpacked libgpg-error0:amd64 1.51-4
2025-08-12 22:37:41 install libassuan9:amd64 <none> 3.0.2-2
2025-08-12 22:37:41 status half-installed libassuan9:amd64 3.0.2-2
2025-08-12 22:37:41 status unpacked libassuan9:amd64 3.0.2-2
2025-08-12 22:37:41 install libgcrypt20:amd64 <none> 1.11.0-7
2025-08-12 22:37:41 status half-installed libgcrypt20:amd64 1.11.0-7
2025-08-12 22:37:41 status unpacked libgcrypt20:amd64 1.11.0-7
2025-08-12 22:37:41 install libreadline8t64:amd64 <none> 8.2-6
2025-08-12 22:37:41 status half-installed libreadline8t64:amd64 8.2-6
2025-08-12 22:37:41 status unpacked libreadline8t64:amd64 8.2-6
2025-08-12 22:37:41 install gpgconf:amd64 <none> 2.4.7-21+b3
2025-08-12 22:37:41 status half-installed gpgconf:amd64 2.4.7-21+b3
2025-08-12 22:37:41 status unpacked gpgconf:amd64 2.4.7-21+b3
2025-08-12 22:37:41 install libksba8:amd64 <none> 1.6.7-2+b1
2025-08-12 22:37:41 status half-installed libksba8:amd64 1.6.7-2+b1
2025-08-12 22:37:41 status unpacked libksba8:amd64 1.6.7-2+b1
2025-08-12 22:37:41 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg1-9
2025-08-12 22:37:41 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2025-08-12 22:37:41 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2025-08-12 22:37:41 install libsasl2-2:amd64 <none> 2.1.28+dfsg1-9
2025-08-12 22:37:41 status half-installed libsasl2-2:amd64 2.1.28+dfsg1-9
2025-08-12 22:37:41 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-9
2025-08-12 22:37:41 install libldap2:amd64 <none> 2.6.10+dfsg-1
2025-08-12 22:37:41 status half-installed libldap2:amd64 2.6.10+dfsg-1
2025-08-12 22:37:41 status unpacked libldap2:amd64 2.6.10+dfsg-1
2025-08-12 22:37:41 install libnpth0t64:amd64 <none> 1.8-3
